metabolite,oxygen,treatment,mean,se,name
alanine,21%,None,14.319890567527603,1.7116782296485187,ALAR
alanine,0.5%,None,7.796606175730428,0.9111544260765476,ALAR
aspartate,21%,None,-6.966649734227938,0.9658566211739915,ASPR
aspartate,0.5%,None,-6.913233558781188,0.5177858699659317,ASPR
biomass,21%,None,0.027653862172089306,8.194603555767704e-4,BIOMASS
biomass,0.5%,None,0.019873063116650564,0.0018329492027474887,BIOMASS
cystine,21%,None,-6.404578318143153,0.36743479482366026,CYSR
cystine,0.5%,None,-3.750803865213911,0.03673172915679015,CYSR
glucose,21%,None,-431.8500049608469,15.777934061611097,GLUT
glucose,0.5%,None,-371.5294865268329,18.146777461662584,GLUT
glutamate,21%,None,25.193711423441144,1.0909894191135727,GLUR
glutamate,0.5%,None,11.940621935239273,0.6018707274259748,GLUR
glutamine,21%,None,-91.30234212148078,15.953950879145541,GLNR
glutamine,0.5%,None,-177.89031952783733,21.26070587631953,GLNR
glycine,21%,None,0.3654777532219879,0.06071024219077491,GLYR
glycine,0.5%,None,-0.40695447223391434,0.16111998063902558,GLYR
lactate,21%,None,725.3093803138432,86.61899463292964,MCT
lactate,0.5%,None,574.930877851253,71.53151339652955,MCT
pyruvate,21%,None,-105.11563418478985,11.682484424238652,PYRR
pyruvate,0.5%,None,-45.55772439248037,4.533474405199072,PYRR
serine,21%,None,2.536716839991947,0.21224390285732128,SERR
serine,0.5%,None,-2.573308827072684,0.13464278054243697,SERR
